AAPL,Apple Computer
ADBE,Adobe
AMD,Advanced Micro Devices
ARMH,Arm Holdings plc
# AVID,Avid Technology - de-listed
CSCO,Cisco Systems
BSX,Boston Scientific
CGNX,Cognex Corporation
CRUS,Cirrus Logic
DBB,PowerShares DB Base Metals
DIA,SPDR Dow Jones Industrial Average
ECYAX,Ashmore Emerging Markets Ccy A
FB,FaceBook
FBMPX,Fidelity Select Multimedia
GLD,SPDR Gold Shares
GOOG,Google
HAR,Harman International Industries
ICLEX,ICON Consumer Staples
INTC,Intel Corporation
JJC,iPath DJ-UBS Copper TR Sub-Idx ETN
LNKD,LinkedIn Corporation
MSI,Motorola Solutions
MSFT,Microsoft
NVDA,NVIDIA Corporation
ONEQ,Fidelity Nasdaq Composite Index Tracking
ORCL,Oracle Corporation
P,Pandora
PNOBX,Putnam Multi-Cap Growth B
QCOM,QUALCOMM Incorporated
QQQ,PowerShares QQQ Trust Series 1 (NASDAQ ETF)
SAM,Boston Beer Company
SAP,SAP AG
SLV,iShares Silver Trust
SPY,SPDR S&P 500 ETF
SPYG,SPDR S&P 500 Growth ETF
SPYV,SPDR S&P 500 Value ETF
SBUX,Starbucks Corporation
SNE,Sony Corporation
TWX,Time Warner
USD,ProShares Ultra Semiconductors
YHOO,Yahoo!
